Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.286102e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011345 | lrm: 0.00 | dt: 13024ms | tok/sec: 10,064 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.011340 | lrm: 0.00 | dt: 128ms | tok/sec: 1,026,119 | mfu: 44.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.011379 | lrm: 0.00 | dt: 128ms | tok/sec: 1,023,187 | mfu: 44.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.011372 | lrm: 0.00 | dt: 129ms | tok/sec: 1,016,870 | mfu: 44.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.011366 | lrm: 0.00 | dt: 129ms | tok/sec: 1,018,262 | mfu: 44.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 9.011380 | lrm: 0.00 | dt: 129ms | tok/sec: 1,018,281 | mfu: 44.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 9.011366 | lrm: 0.00 | dt: 129ms | tok/sec: 1,016,733 | mfu: 44.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 9.011360 | lrm: 0.00 | dt: 128ms | tok/sec: 1,025,608 | mfu: 44.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 9.011359 | lrm: 0.00 | dt: 129ms | tok/sec: 1,017,747 | mfu: 44.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 9.011329 | lrm: 0.00 | dt: 129ms | tok/sec: 1,016,502 | mfu: 44.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 9.011323 | lrm: 0.00 | dt: 129ms | tok/sec: 1,013,972 | mfu: 43.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 9.011329 | lrm: 0.00 | dt: 129ms | tok/sec: 1,018,041 | mfu: 44.1% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 9.011322 | lrm: 0.01 | dt: 130ms | tok/sec: 1,010,666 | mfu: 43.8% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 9.010697 | lrm: 0.02 | dt: 132ms | tok/sec: 990,410 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 9.008834 | lrm: 0.03 | dt: 134ms | tok/sec: 981,596 | mfu: 42.5% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 9.005367 | lrm: 0.03 | dt: 134ms | tok/sec: 979,218 | mfu: 42.4% | epoch: 1 | remaining: 299s    
step 00016 (0.2%) | loss: 8.999787 | lrm: 0.04 | dt: 136ms | tok/sec: 966,634 | mfu: 41.9% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 8.990995 | lrm: 0.05 | dt: 139ms | tok/sec: 939,779 | mfu: 40.7% | epoch: 1 | remaining: 299s    
step 00018 (0.3%) | loss: 8.977934 | lrm: 0.06 | dt: 140ms | tok/sec: 936,353 | mfu: 40.6% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 8.958057 | lrm: 0.07 | dt: 140ms | tok/sec: 938,510 | mfu: 40.7% | epoch: 1 | remaining: 299s    
step 00020 (0.4%) | loss: 8.927565 | lrm: 0.08 | dt: 135ms | tok/sec: 971,457 | mfu: 42.1% | epoch: 1 | remaining: 299s    
step 00021 (0.4%) | loss: 8.880580 | lrm: 0.09 | dt: 134ms | tok/sec: 977,135 | mfu: 42.3% | epoch: 1 | remaining: 299s    
step 00022 (0.5%) | loss: 8.809074 | lrm: 0.10 | dt: 134ms | tok/sec: 979,729 | mfu: 42.4% | epoch: 1 | remaining: 298s    
step 00023 (0.5%) | loss: 8.708912 | lrm: 0.11 | dt: 135ms | tok/sec: 968,229 | mfu: 41.9% | epoch: 1 | remaining: 298s    
step 00024 (0.6%) | loss: 8.588049 | lrm: 0.12 | dt: 138ms | tok/sec: 950,614 | mfu: 41.2% | epoch: 1 | remaining: 298s    
step 00025 (0.6%) | loss: 8.461074 | lrm: 0.13 | dt: 137ms | tok/sec: 953,496 | mfu: 41.3% | epoch: 1 | remaining: 298s    
step 00026 (0.7%) | loss: 8.326822 | lrm: 0.14 | dt: 139ms | tok/sec: 942,421 | mfu: 40.8% | epoch: 1 | remaining: 298s    
step 00027 (0.7%) | loss: 8.181573 | lrm: 0.14 | dt: 136ms | tok/sec: 961,392 | mfu: 41.6% | epoch: 1 | remaining: 298s    
step 00028 (0.8%) | loss: 8.034559 | lrm: 0.15 | dt: 136ms | tok/sec: 960,733 | mfu: 41.6% | epoch: 1 | remaining: 298s    
step 00029 (0.8%) | loss: 7.884370 | lrm: 0.16 | dt: 135ms | tok/sec: 971,614 | mfu: 42.1% | epoch: 1 | remaining: 297s    
step 00030 (0.9%) | loss: 7.736360 | lrm: 0.17 | dt: 134ms | tok/sec: 975,756 | mfu: 42.3% | epoch: 1 | remaining: 297s    
step 00031 (0.9%) | loss: 7.596134 | lrm: 0.18 | dt: 137ms | tok/sec: 953,960 | mfu: 41.3% | epoch: 1 | remaining: 297s    
step 00032 (0.9%) | loss: 7.461613 | lrm: 0.19 | dt: 140ms | tok/sec: 935,421 | mfu: 40.5% | epoch: 1 | remaining: 297s    
step 00033 (1.0%) | loss: 7.335375 | lrm: 0.20 | dt: 139ms | tok/sec: 940,380 | mfu: 40.7% | epoch: 1 | remaining: 297s    
step 00034 (1.0%) | loss: 7.213419 | lrm: 0.21 | dt: 138ms | tok/sec: 947,634 | mfu: 41.0% | epoch: 1 | remaining: 297s    
step 00035 (1.1%) | loss: 7.099602 | lrm: 0.22 | dt: 137ms | tok/sec: 955,299 | mfu: 41.4% | epoch: 1 | remaining: 297s    
step 00036 (1.1%) | loss: 6.991240 | lrm: 0.23 | dt: 135ms | tok/sec: 970,662 | mfu: 42.0% | epoch: 1 | remaining: 296s    
step 00037 (1.2%) | loss: 6.889493 | lrm: 0.24 | dt: 135ms | tok/sec: 973,205 | mfu: 42.2% | epoch: 1 | remaining: 296s    
step 00038 (1.2%) | loss: 6.791906 | lrm: 0.24 | dt: 136ms | tok/sec: 964,724 | mfu: 41.8% | epoch: 1 | remaining: 296s    
step 00039 (1.3%) | loss: 6.700945 | lrm: 0.25 | dt: 138ms | tok/sec: 949,295 | mfu: 41.1% | epoch: 1 | remaining: 296s    
step 00040 (1.3%) | loss: 6.614124 | lrm: 0.26 | dt: 138ms | tok/sec: 951,701 | mfu: 41.2% | epoch: 1 | remaining: 296s    
step 00041 (1.4%) | loss: 6.533969 | lrm: 0.27 | dt: 139ms | tok/sec: 943,825 | mfu: 40.9% | epoch: 1 | remaining: 296s    
step 00042 (1.4%) | loss: 6.460856 | lrm: 0.28 | dt: 138ms | tok/sec: 948,846 | mfu: 41.1% | epoch: 1 | remaining: 296s    
step 00043 (1.5%) | loss: 6.386592 | lrm: 0.29 | dt: 136ms | tok/sec: 963,765 | mfu: 41.7% | epoch: 1 | remaining: 296s    
step 00044 (1.5%) | loss: 6.320754 | lrm: 0.30 | dt: 136ms | tok/sec: 966,567 | mfu: 41.9% | epoch: 1 | remaining: 295s    
step 00045 (1.5%) | loss: 6.260396 | lrm: 0.31 | dt: 135ms | tok/sec: 967,460 | mfu: 41.9% | epoch: 1 | remaining: 295s    
step 00046 (1.6%) | loss: 6.204344 | lrm: 0.32 | dt: 138ms | tok/sec: 953,062 | mfu: 41.3% | epoch: 1 | remaining: 295s    
step 00047 (1.6%) | loss: 6.147828 | lrm: 0.33 | dt: 137ms | tok/sec: 955,208 | mfu: 41.4% | epoch: 1 | remaining: 295s    
step 00048 (1.7%) | loss: 6.096369 | lrm: 0.34 | dt: 138ms | tok/sec: 948,554 | mfu: 41.1% | epoch: 1 | remaining: 295s    
step 00049 (1.7%) | loss: 6.047805 | lrm: 0.35 | dt: 139ms | tok/sec: 945,153 | mfu: 40.9% | epoch: 1 | remaining: 295s    
