commit	val_bpb	memory_gb	status	description
bd8a1f1	0.995875	44.0	KEEP	baseline
2754cb6	0.99175	44.0	KEEP	MATRIX_LR 0.04 -> 0.05
2689360	0.991454	44.0	KEEP	MATRIX_LR 0.05 -> 0.06
ac0c79c	0.998516	44.0	DISCARD	MATRIX_LR 0.06 -> 0.08
baaf1ad	0.996996	44.0	DISCARD	EMBEDDING_LR 0.6 -> 0.9
be67925	0.99681	44.0	DISCARD	EMBEDDING_LR 0.6 -> 0.4
4388dff	0.995898	44.0	DISCARD	UNEMBEDDING_LR 0.004 -> 0.008
8a80883	1.028457	66.5	DISCARD	DEPTH 8 -> 10 (85.9M params, too slow per step)
681fde2	0.0	0.0	CRASH	DEVICE_BATCH_SIZE 128 -> 256 (OOM)
1b97010	0.989349	43.9	KEEP	TOTAL_BATCH_SIZE 2**19 -> 2**18 (grad_accum 2 -> 1)
1fa42b8	1.000547	22.2	DISCARD	TOTAL_BATCH_SIZE 2**18 -> 2**17 (batch too small)
99608e4	0.98786	43.9	KEEP	MATRIX_LR 0.06 -> 0.05 at TBS=2**18
03ae739	0.986738	43.9	KEEP	MATRIX_LR 0.05 -> 0.04 at TBS=2**18
f9ba84a	0.986246	43.9	KEEP	MATRIX_LR 0.04 -> 0.03
8f86092	0.986012	43.9	KEEP	MATRIX_LR 0.03 -> 0.025
3ac4580	0.98764	43.9	DISCARD	MATRIX_LR 0.025 -> 0.02
1a47cee	0.987847	43.9	DISCARD	EMBEDDING_LR 0.6 -> 0.4
dd7595a	0.988995	43.9	DISCARD	WARMDOWN_RATIO 0.5 -> 0.3
266d269	0.986012	43.9	KEEP	WARMDOWN_RATIO 0.5 -> 0.7
f5eb891	0.987822	43.9	DISCARD	WARMDOWN_RATIO 0.7 -> 0.9
9f68a13	0.989165	43.9	DISCARD	WEIGHT_DECAY 0.2 -> 0.1
522cf99	0.98529	53.9	KEEP	ASPECT_RATIO 64 -> 80 (dim 640, 70.8M)
d728f93	0.984087	63.9	KEEP	ASPECT_RATIO 80 -> 96 (dim 768, 94.4M)
0412e89	0.99487	74.0	DISCARD	ASPECT_RATIO 96 -> 112 (dim 896, undertrained)
4676ed8	0.983352	63.9	KEEP	MATRIX_LR 0.025 -> 0.03 at dim 768
c54841c	0.982825	63.9	KEEP	MATRIX_LR 0.03 -> 0.04 at dim 768
f3089be	0.982424	63.9	KEEP	MATRIX_LR 0.04 -> 0.05 at dim 768
f64e58f	0.983355	63.9	DISCARD	MATRIX_LR 0.05 -> 0.06
c578cea	0.982633	63.9	DISCARD	EMBEDDING_LR 0.6 -> 0.4 at dim 768
91bfb92	0.98244	63.9	DISCARD	EMBEDDING_LR 0.6 -> 0.8 at dim 768
8d691b5	0.992307	64.1	DISCARD	HEAD_DIM 128 -> 64
1792093	0.983115	63.9	DISCARD	WINDOW_PATTERN SSSL -> SSSSSSSL
fe7ad8d	0.982674	63.9	DISCARD	WINDOW_PATTERN SSSL -> SSLL
d618d0e	0.982591	63.9	DISCARD	ADAM_BETAS (0.8,0.95) -> (0.9,0.95)
e10c39d	0.0	0.0	CRASH	DEPTH 12 dim 768 (OOM)
06eefbf	0.993354	47.8	DISCARD	DEPTH 12, dim 768 (135M, undertrained)
fbd31fb	0.984946	71.6	DISCARD	DEPTH 9, dim 768 (107M, undertrained)
23eefb1	0.981165	63.9	DISCARD	muon momentum warmup 300 -> 100 steps (no effect)
82c4eca	0.987604	63.9	DISCARD	softcap 15 -> 30
834a81f	0.982257	63.9	KEEP	softcap 15 -> 10
2747049	1.045432	63.9	DISCARD	softcap 10 -> 5 (too tight)
1714c15	0.982257	63.9	KEEP	softcap 10 -> 12
4bf8ce3	0.981831	63.9	DISCARD	UNEMBEDDING_LR 0.004 -> 0.008 at dim 768
9f7a116	0.983686	63.9	DISCARD	MATRIX_LR 0.05 -> 0.07
77f7692	0.98628	61.3	DISCARD	remove x0 skip (helpful, revert)
14ae7a9	0.984817	63.9	DISCARD	x0_lambdas init 0.1 -> 0.2
a768c9a	0.986596	57.8	DISCARD	MLP expansion 4x -> 3x
a615751	0.98289	70.0	DISCARD	MLP expansion 4x -> 5x
1cfb7cf	0.98216	63.9	DISCARD	ve_gate_channels 32 -> 128
3947abd	0.990283	63.9	DISCARD	muon ns_steps 5 -> 3
f80a531	0.981826	63.9	DISCARD	wte init std 1.0 -> 0.5
591d4de	0.983245	63.9	DISCARD	lm_head init 0.001 -> 0
4bb9ff3	0.981602	63.9	DISCARD	rotary base 10000 -> 50000
48af63d	0.983257	63.9	DISCARD	SCALAR_LR 0.5 -> 1.0
ec5f141	0.984999	58.5	DISCARD	GQA n_kv_head 6 -> 3
4d8e1f7	0.988278	62.7	DISCARD	VE only last layer
7428e05	0.982189	65.6	KEEP	VE on every layer (simpler return True)
6d343fe	0.983612	65.6	DISCARD	MATRIX_LR 0.05 -> 0.06 with VE-everywhere
ff2cd42	0.998689	65.6	DISCARD	MLP activation relu² -> gelu
c78450f	0.99307	65.6	DISCARD	MLP activation relu² -> silu
cb91ea0	0.994789	59.5	DISCARD	remove q,k norm
e5343ed	0.982373	65.6	DISCARD	MATRIX_LR 0.05 -> 0.04 with VE-everywhere
97d1ea0	0.987249	55.2	DISCARD	ASPECT_RATIO 96 -> 80 with VE-everywhere
3adc474	0.982803	65.6	DISCARD	softcap 12 -> 8
c547961	0.984759	65.6	DISCARD	WARMUP_RATIO 0 -> 0.03
96f385e	0.980842	65.6	DISCARD	FINAL_LR_FRAC 0 -> 0.1
c446418	0.982272	65.6	DISCARD	EMBEDDING_LR 0.6 -> 0.8 with VE-everywhere
6c83452	0.991824	62.3	DISCARD	remove value_embeds entirely (helpful, revert)
c8eea6e	0.98542	65.6	DISCARD	linear cooldown -> cosine
e36796e	0.981634	65.6	DISCARD	muon beta2 0.95 -> 0.99
a69b261	0.981786	65.6	KEEP	muon beta2 0.95 -> 0.9
8f9184d	0.98176	65.6	KEEP	muon beta2 0.9 -> 0.8
754cda9	0.981045	65.6	DISCARD	muon beta2 0.8 -> 0.7
5c4f8e5	0.982838	65.6	DISCARD	MATRIX_LR 0.05 -> 0.06 with beta2=0.8
9babdc0	0.981263	65.6	DISCARD	WARMDOWN_RATIO 0.7 -> 0.6 with beta2=0.8
05572e6	0.98682	65.6	DISCARD	resid_lambdas init 1.0 -> 0.5
749fd71	0.981083	65.6	DISCARD	x0_lambdas init 0.1 -> 0.05
2f83d0a	0.982807	65.6	DISCARD	ve_gate_channels 32 -> 64 with VE-everywhere
0ce0265	0.982887	65.6	DISCARD	WEIGHT_DECAY 0.2 -> 0.3
f2373ba	0.983631	65.6	DISCARD	muon momentum final 0.95 -> 0.97
c0d91e7	0.982475	65.6	DISCARD	constant muon momentum 0.92
310aa1f	0.984962	65.6	DISCARD	seed 42 -> 43 (noise check, ~0.003 variance)
e0d5a83	1.04159	65.9	DISCARD	TBS 2**18 -> 2**19
0cdaff1	0.986435	62.6	DISCARD	remove VE gate entirely (useful, revert)
94fcbb7	0.982819	65.6	DISCARD	WINDOW_PATTERN SSSL -> LLLL (within noise)
8592a56	0.0	0.0	CRASH	max-autotune (compile too slow, never trained)
14203bb	0.0	0.0	CRASH	keep wte/VE fp32 (FA3 dtype mismatch)
71becb2	0.986799	62.7	DISCARD	shared single VE across layers (75.5M, savings not worth)
2c4fb58	0.983224	65.6	DISCARD	Adam eps 1e-10 -> 1e-8
a643aa9	0.98205	65.6	DISCARD	MATRIX_LR 0.05 -> 0.045
b4cb621	0.980691	65.6	DISCARD	x0_lambdas betas (0.96,0.95) -> adam_betas
314482a	0.981516	50.3	DISCARD	DEPTH 8 -> 6, AR 96 -> 128 (dim 768, 6 layers; within noise)
5a20523	0.991824	65.9	DISCARD	DEPTH 6, AR 160 (dim 1024, 142M, undertrained)
