commit	val_bpb	memory_gb	status	description
c0ab99e	0.995875	44.0	KEEP	baseline
969f2d7	0.998361	44.0	DISCARD	full attention window pattern L
03ff645	0.99478	44.0	KEEP	small LR warmup 3%
67d1264	0.994654	44.0	KEEP	raise matrix LR to 0.05
23fd145	0.995345	44.0	DISCARD	raise matrix LR to 0.06
ffabb9c	0.990216	44.0	KEEP	raise embedding LR to 0.8
a1a41f6	0.996706	44.0	DISCARD	embedding LR 1.0
6622002	0.996423	44.0	DISCARD	warmdown 0.35
b366526	0.996506	44.0	DISCARD	weight decay 0.1
a1006cb	0.995708	44.0	DISCARD	weight decay 0.3
04d35d6	1.002895	40.4	DISCARD	GQA n_kv_head half (loss params)
87b56d2	1.016569	66.5	DISCARD	depth 10
124da6e	0.995488	44.0	DISCARD	warmup 0.05
dd03348	0.986387	43.9	KEEP	total batch 2^18
edb631e	0.9957	22.2	DISCARD	total batch 2^17 dbs 64
99e5a2d	0.986227	66.2	KEEP	depth 10 at batch 2^18
d15d12e	0.998792	47.8	DISCARD	depth 12 dbs 64
b288d60	0.986227	66.2	KEEP	embed lr 1.0 depth 10
402d395	0.986072	66.2	DISCARD	embed lr 1.2
95a6643	0.988538	66.2	DISCARD	matrix lr 0.06 depth 10
3047911	0.986227	66.2	KEEP	matrix lr 0.04 depth 10
2fb7366	0.986227	66.2	KEEP	matrix lr 0.03
e3e0f98	0.987143	66.2	DISCARD	matrix lr 0.02
29fe3d3	0.987403	66.2	DISCARD	warmdown 0.3
a82561c	0.984848	66.2	DISCARD	warmdown 0.7
b56f894	0.985655	66.2	KEEP	warmdown 0.6
70d1759	0.984421	66.2	DISCARD	warmdown 0.65
854da61	0.985655	66.2	KEEP	embed lr 1.2 retry
6d9d69a	0.985466	66.2	DISCARD	embed lr 1.5
129ea30	0.985511	66.2	KEEP	unembed lr 0.006
5a99a9c	0.985506	66.2	DISCARD	unembed lr 0.008
3cdcbaa	0.986382	66.2	DISCARD	window L depth 10
68be089	0.985381	66.2	KEEP	window SSSSL
4358178	0.983976	66.2	DISCARD	window SSSSSL
18ab594	0.986186	66.2	DISCARD	adam beta1 0.9
ba50cbb	0.995403	66.4	DISCARD	head dim 64
8252956	1.059682	46.8	DISCARD	aspect 80 dbs 64
b29672c	0.986236	66.2	DISCARD	scalar lr 1.0
9a28936	0.985611	66.2	DISCARD	matrix lr 0.025
2bfa9c4	0.983839	66.2	DISCARD	embed lr 1.4
7e87fff	0.985504	59.9	DISCARD	MLP expansion 3x
057f65b	0.98374	66.2	DISCARD	weight decay 0.15
2d067d2	0.984423	66.2	KEEP	remove warmup
de6097a	0.984484	66.2	DISCARD	embed lr 1.4 no warmup
cedccc2	0.983529	66.2	DISCARD	softcap 20
aa1e1fb	0.983776	66.2	DISCARD	softcap 10
d643c22	0.984141	66.2	DISCARD	window SSSL retry
2d081ab	1.02161	66.5	DISCARD	total batch 2^19 depth 10
5f0a51c	0.983537	66.2	DISCARD	warmdown 0.55
3d20669	0.98446	66.2	DISCARD	embed lr 1.1
0d469f6	0.984333	60.2	KEEP	depth 9
3f4894b	0.0	0.0	CRASH	depth 11 OOM
bcb0e8f	0.984333	60.2	KEEP	warmdown 0.55 d9
2404674	0.982583	60.2	DISCARD	warmdown 0.5 d9
305d182	0.984204	60.2	KEEP	matrix lr 0.035 d9
