Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 15,728,640
  lm_head                 : 5,242,880
  transformer_matrices    : 24,576,480
  scalars                 : 12
  total                   : 50,790,892
Estimated FLOPs per token: 2.261021e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011339 | lrm: 1.00 | dt: 18795ms | tok/sec: 13,947 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.843610 | lrm: 1.00 | dt: 145ms | tok/sec: 1,810,366 | mfu: 41.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.439673 | lrm: 1.00 | dt: 147ms | tok/sec: 1,778,045 | mfu: 40.6% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.958432 | lrm: 1.00 | dt: 147ms | tok/sec: 1,789,188 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.565735 | lrm: 1.00 | dt: 148ms | tok/sec: 1,770,504 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.235983 | lrm: 1.00 | dt: 148ms | tok/sec: 1,767,053 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.987499 | lrm: 1.00 | dt: 151ms | tok/sec: 1,734,278 | mfu: 39.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.787387 | lrm: 1.00 | dt: 163ms | tok/sec: 1,604,182 | mfu: 36.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.612322 | lrm: 1.00 | dt: 151ms | tok/sec: 1,739,034 | mfu: 39.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.468825 | lrm: 1.00 | dt: 148ms | tok/sec: 1,766,908 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.349857 | lrm: 1.00 | dt: 149ms | tok/sec: 1,764,435 | mfu: 40.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.244634 | lrm: 1.00 | dt: 148ms | tok/sec: 1,771,779 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 6.146833 | lrm: 1.00 | dt: 150ms | tok/sec: 1,749,394 | mfu: 40.0% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.071536 | lrm: 1.00 | dt: 161ms | tok/sec: 1,631,344 | mfu: 37.3% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 6.001100 | lrm: 1.00 | dt: 153ms | tok/sec: 1,710,639 | mfu: 39.1% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 5.939324 | lrm: 1.00 | dt: 150ms | tok/sec: 1,749,728 | mfu: 40.0% | epoch: 1 | remaining: 299s    
step 00016 (0.3%) | loss: 5.886731 | lrm: 1.00 | dt: 149ms | tok/sec: 1,756,823 | mfu: 40.1% | epoch: 1 | remaining: 299s    
step 00017 (0.3%) | loss: 5.834401 | lrm: 1.00 | dt: 150ms | tok/sec: 1,752,142 | mfu: 40.0% | epoch: 1 | remaining: 299s    
step 00018 (0.4%) | loss: 5.785832 | lrm: 1.00 | dt: 147ms | tok/sec: 1,777,623 | mfu: 40.6% | epoch: 1 | remaining: 299s    
step 00019 (0.4%) | loss: 5.743642 | lrm: 1.00 | dt: 154ms | tok/sec: 1,704,346 | mfu: 38.9% | epoch: 1 | remaining: 299s    
step 00020 (0.5%) | loss: 5.705254 | lrm: 1.00 | dt: 157ms | tok/sec: 1,673,762 | mfu: 38.2% | epoch: 1 | remaining: 298s    
step 00021 (0.5%) | loss: 5.667349 | lrm: 1.00 | dt: 153ms | tok/sec: 1,717,761 | mfu: 39.3% | epoch: 1 | remaining: 298s    
step 00022 (0.6%) | loss: 5.637345 | lrm: 1.00 | dt: 150ms | tok/sec: 1,748,720 | mfu: 40.0% | epoch: 1 | remaining: 298s    
step 00023 (0.6%) | loss: 5.605390 | lrm: 1.00 | dt: 150ms | tok/sec: 1,752,706 | mfu: 40.0% | epoch: 1 | remaining: 298s    
step 00024 (0.7%) | loss: 5.578157 | lrm: 1.00 | dt: 149ms | tok/sec: 1,754,023 | mfu: 40.1% | epoch: 1 | remaining: 298s    
step 00025 (0.7%) | loss: 5.548895 | lrm: 1.00 | dt: 151ms | tok/sec: 1,735,690 | mfu: 39.7% | epoch: 1 | remaining: 298s    
step 00026 (0.8%) | loss: 5.524107 | lrm: 1.00 | dt: 155ms | tok/sec: 1,693,022 | mfu: 38.7% | epoch: 1 | remaining: 298s    
step 00027 (0.8%) | loss: 5.498283 | lrm: 1.00 | dt: 156ms | tok/sec: 1,685,809 | mfu: 38.5% | epoch: 1 | remaining: 297s    
step 00028 (0.9%) | loss: 5.477113 | lrm: 1.00 | dt: 152ms | tok/sec: 1,723,291 | mfu: 39.4% | epoch: 1 | remaining: 297s    
step 00029 (0.9%) | loss: 5.451001 | lrm: 1.00 | dt: 151ms | tok/sec: 1,740,237 | mfu: 39.8% | epoch: 1 | remaining: 297s    
step 00030 (1.0%) | loss: 5.423269 | lrm: 1.00 | dt: 148ms | tok/sec: 1,767,033 | mfu: 40.4% | epoch: 1 | remaining: 297s    
