commit	val_bpb	memory_gb	status	description
228791f	0.996003	44.0	keep	baseline
65cc28a	0.987226	43.9	keep	smaller optimizer batch 2^18
76a9d7d	0.991191	22.2	discard	total batch 2^17 with device batch 64
018c05d	0.986575	43.9	keep	lower matrix lr to 0.035
40be304	0.986319	43.9	keep	lower matrix lr to 0.03
c27bbcf	0.986233	43.9	keep	lower matrix lr to 0.025
aa34b7e	0.986739	43.9	discard	lower matrix lr to 0.02
5c3d390	0.986424	43.9	discard	matrix lr midpoint 0.0275
7edd503	0.987211	43.9	discard	lower embedding lr to 0.5
50230cc	0.986367	43.9	discard	higher embedding lr to 0.7
927aee3	0.986961	43.9	discard	shorter warmdown 0.4
d7231e6	0.986091	43.9	keep	longer warmdown 0.6
0a12083	0.986338	43.9	discard	longer warmdown 0.7
4a28adb	0.985959	43.9	keep	warmdown midpoint 0.55
362ccd2	0.985901	43.9	keep	warmdown upper midpoint 0.575
a42ee95	0.986035	43.9	discard	warmdown lower midpoint 0.5625
46f77e7	0.985867	43.9	keep	warmdown high refine 0.5875
ab9d989	0.986018	43.9	discard	warmdown near 0.6
c123596	0.987061	43.9	discard	higher unembedding lr to 0.006
5989c55	0.987134	43.9	discard	lower unembedding lr to 0.003
a3dbe7a	0.986479	43.9	discard	lower weight decay to 0.15
4c1cb71	0.985974	43.9	discard	higher weight decay to 0.25
e62d5ed	0.988316	39.1	discard	depth 7 shallower model
13617d8	0.984922	48.9	keep	depth 9 same width
28417b6	0.985189	48.9	discard	depth 9 matrix lr 0.03
cfdc867	0.985469	48.9	discard	depth 9 matrix lr 0.02
65d7281	0.984939	48.9	discard	depth 9 warmdown 0.55
7d63c10	0.984199	53.7	keep	depth 10 same width
b686ba0	0.986234	58.8	discard	depth 11 same width
b7764b0	0.984344	53.7	discard	depth 10 warmdown 0.55
c37583a	0.984634	53.7	discard	depth 10 matrix lr 0.03
120cc2a	0.993718	53.8	discard	depth 10 head dim 64
c2fc23c	0.984591	53.7	discard	depth 10 window pattern SSLL
f7d6717	0.988773	49.2	discard	depth 10 grouped query attention
7c2b847	0.986006	53.7	discard	depth 10 warmup 0.02
68bd57b	0.984168	53.7	keep	depth 10 scalar lr 0.25
561a3c4	0.984777	53.7	discard	depth 10 scalar lr 0.125
c400b12	0.984459	53.7	discard	depth 10 scalar lr 0.375
14975f6	0.984129	53.7	keep	depth 10 scalar lr 0.2
324a16a	0.984154	53.7	discard	depth 10 scalar lr 0.175
9db54f3	0.984183	53.7	discard	depth 10 scalar lr 0.2125
ad4a45b	0.982753	58.8	keep	depth 10 mlp expansion 5x
9211744	0.982768	63.8	discard	depth 10 mlp expansion 6x
52f86e8	0.982293	61.3	keep	depth 10 mlp expansion 5.5x
8d21a59	0.982846	60.0	discard	depth 10 mlp expansion 5.25x
9c0945e	0.983683	62.6	discard	depth 10 mlp expansion 5.75x
aa3b9ad	0.983031	61.3	discard	depth 10 mlp 5.5x matrix lr 0.0225
32f2a81	0.981806	61.3	keep	depth 10 mlp 5.5x matrix lr 0.0275
5e9dc42	0.982713	61.3	discard	depth 10 mlp 5.5x matrix lr 0.03
3ae1f30	0.982137	61.3	discard	depth 10 mlp 5.5x matrix lr 0.027
